# bal-class-a-baseline.tsv — emitted paths touching supplied-BAL cursors
# Predicate: bv_bal_*, bsr_bal_*, and c1_bal_* start/len cells
# Debt count constant: EXPECTED_CLASS_A_DEBT in check-bal-class-a-ratchet.py
# Columns: function  kind  jal_or_sink  return_status_tested  insn
# Maintained by scripts/check-bal-class-a-ratchet.py
# NEW path => fail; MISSING baselined path => fail (shrink baseline on purpose).
# return_status_tested=yes means a direct jal soon after is followed by a0/t*-status branch.
#
# ENDPOINT (#11183): remaining rows should be BIND (locate BAL slice for hash/
# serialize per fork.py:366/:390), NOT CHECKs against supplied body content.
# Ratchet conflates BIND with CHECK (tracks start/len refs). BIND residual is
# the finish line — not unfinished work. Retire CHECKs via EQUIVALENCE (spec
# only hashes the BUILT list at fork.py:390; no supplied body), never via
# "hash covers it" (needs collision-freedom; ruled out).
.Lbsr_bal_replay	load	bal_account_record_array	yes	la t0, bsr_bal_start; ld a3, 0(t0); la t0, bsr_bal_len; ld a4, 0(t0); mv a5, t6
.Lbsr_bal_replay	load	rlp_walk_init	no	la t0, bsr_bal_start; ld a0, 0(t0); la t0, bsr_bal_len; ld a1, 0(t0)
.Lbsr_oao_2935_done	load	bal_section_info	yes	la t0, bsr_ssz_p; ld a0, 0(t0); la a1, bsr_bal_start; la a2, bsr_bal_len; la a3, bsr_bal_count
.Lbv_after_tx_gate	load	bgv_u64le	no	la t2, bv_bal_start; ld t3, 0(t2); sub a1, a1, t3
.Lbv_after_tx_gate	store	bgv_u32le	no	la t2, bv_bal_start; sd a0, 0(t2)
.Lbv_after_tx_gate	store	bgv_u64le	no	la t2, bv_bal_len; sd a1, 0(t2)
.Lbv_ret	store	bal_gas_valid_from_builder	yes	la t0, bv_bal_len; ld t1, 0(t0); la t0, bv_bal_shadow_supplied_len; sd t1, 0(t0)
.Lc1_bd_same_block	load	bal_find_account_by_address	yes	la t0, c1_bal_start; ld a0, 0(t0); la t0, c1_bal_len; ld a1, 0(t0)
.Lc1_be_same_block	load	bal_find_account_by_address	yes	la t0, c1_bal_start; ld a0, 0(t0); la t0, c1_bal_len; ld a1, 0(t0)
.Lv2_input_hash	la	bal_section_info	yes	mv a0, s0; la a1, c1_bal_start; la a2, c1_bal_len; la a3, c1_bal_count; jal ra, bal_section_info
block_state_root_pre_accounts	load	bal_account_record_array	yes	la t0, bsr_bal_start; ld a3, 0(t0); la t0, bsr_bal_len; ld a4, 0(t0); mv a5, t6
block_state_root_pre_accounts	load	bal_section_info	yes	la t0, bsr_ssz_p; ld a0, 0(t0); la a1, bsr_bal_start; la a2, bsr_bal_len; la a3, bsr_bal_count
